;link;room;area;floor;all_floors;subway;sub_time;address;price
4065;https://www.mirkvartir.ru/273930456/;5;260.0;9;10;Аэропорт;12;Москва, ул. Куусинена, 21;94780000
4066;https://www.mirkvartir.ru/302630516/;2;45.4;1;5;Кантемировская;6;Москва, Кавказский б-р, 26стр13;11400000
4067;https://www.mirkvartir.ru/302023804/;2;45.0;6;9;Хорошёвская;20;Москва, Причальный проезд, 3к3;15200000
4068;https://www.mirkvartir.ru/284701093/;3;93.0;1;6;Электрозаводская;18;Москва, пер. Мажоров, 4;14750000
4069;https://www.mirkvartir.ru/304086824/;4;128.0;7;16;ЗИЛ;18;Москва, Павелецкая наб., 8а;52000000
4070;https://www.mirkvartir.ru/301678212/;2;46.0;3;5;Рижская;-;Москва, проезд Марьиной Рощи 1-й, 3;13900000
4071;https://www.mirkvartir.ru/271420861/;1;33.0;5;9;Новоясеневская;-;Москва, ул. Инессы Арманд, 4к2;9100000
4072;https://www.mirkvartir.ru/303848342/;1;33.0;5;9;Севастопольская;-;Москва, Малая Юшуньская ул., 6к3;12250000
4073;https://www.mirkvartir.ru/299851910/;2;44.0;1;5;Новохохловская;-;Москва, Подъемная ул., 7;11700000
4074;https://www.mirkvartir.ru/303846966/;2;71.0;5;21;Комсомольская;-;Москва, Южный проезд, 7;12800000
4075;https://www.mirkvartir.ru/300384317/;3;89.5;39;46;Калужская;-;Москва, ул. Академика Волгина, 29к1;36900000
4076;https://www.mirkvartir.ru/303811671/;1;30.5;5;5;Измайловская;19;Москва, ул. Парковая 5-я, 45к1;10000000
4077;https://www.mirkvartir.ru/304095397/;1;35.6;2;12;Люблино;-;Москва, ул. Верхние Поля, 32;11500000
4078;https://www.mirkvartir.ru/300327495/;28;48.0;-;-;Коммунарка;-;Москва, ул. Тимура Фрунзе, 101;11610000
4079;https://www.mirkvartir.ru/302234426/;1;41.3;12;24;Новокосино;-;Московская область, Реутов, ул. Гагарина, 40а;10900000
4080;https://www.mirkvartir.ru/301052188/;2;67.0;25;29;Электрозаводская;-;Москва, Мироновская ул., 25;28000000
4081;https://www.mirkvartir.ru/298996279/;3;80.1;5;17;Первомайская;-;Москва, Первомайская ул., 3к3;18500000
4082;https://www.mirkvartir.ru/293143990/;1;39.5;14;17;Котельники;-;Московская область, Котельники, проезд 3-й Покровский, 22;8400000
4083;https://www.mirkvartir.ru/301137957/;3;79.5;22;30;Черкизовская;-;Москва, б-р Маршала Рокоссовского, 6к1;28500000
4084;https://www.mirkvartir.ru/303839112/;2;58.2;18;22;Шоссе Энтузиастов;-;Москва, ул. Соколиной Горы 8-я, 8к27;22000000
4085;https://www.mirkvartir.ru/303129980/;2;54.4;2;14;Бутырская;-;Москва, Большая Марфинская ул., 4к6;20600000
4086;https://www.mirkvartir.ru/304665130/;2;58.9;25;25;Некрасовка;-;Москва, Рождественская ул., 27к1;13500000
